Number,Data Element,Variable Code,Variable
D01_03,EMS Agency State,10002,Appropriate 2 digit FIPS code
D01_04,EMS Agency County,10003,Appropriate 5 digit FIPS code
D01_05,Primary Type of Service,5610,911 Response (Scene) with Transport Capability
D01_05,Primary Type of Service,5620,911 Response (Scene) without Transport Capability
D01_05,Primary Type of Service,5630,Air Medical
D01_05,Primary Type of Service,5640,Hazmat
D01_05,Primary Type of Service,5650,Medical Transport (Convalescent)
D01_05,Primary Type of Service,5660,Paramedic Intercept
D01_05,Primary Type of Service,5670,Rescue
D01_05,Primary Type of Service,5680,Specialty Care Transport
D01_06,Other Types of Service,-25,Not Applicable
D01_06,Other Types of Service,-10,Not Known
D01_06,Other Types of Service,-5,Not Available
D01_06,Other Types of Service,5690,911 Response (Scene) with Transport Capability
D01_06,Other Types of Service,5700,911 Response (Scene) without Transport Capability
D01_06,Other Types of Service,5710,Air Medical
D01_06,Other Types of Service,5720,Hazmat
D01_06,Other Types of Service,5730,Medical Transport (Convalescent)
D01_06,Other Types of Service,5740,Paramedic Intercept
D01_06,Other Types of Service,5750,Rescue
D01_06,Other Types of Service,5760,Specialty Care Transport
D01_07,Level of Service,6090,EMT-Basic
D01_07,Level of Service,6100,EMT-Intermediate
D01_07,Level of Service,6110,EMT-Paramedic
D01_07,Level of Service,6111,Nurse
D01_07,Level of Service,6112,Physician
D01_07,Level of Service,6120,First Responder
D01_08,Organizational Type,5810,"Community, Non-Profit"
D01_08,Organizational Type,5820,Fire Department
D01_08,Organizational Type,5830,"Governmental, Non-Fire"
D01_08,Organizational Type,5840,Hospital
D01_08,Organizational Type,5850,"Private, Non_Hospital"
D01_08,Organizational Type,5860,Tribal
D01_09,Organization Status,5870,Mixed
D01_09,Organization Status,5880,Non-Volunteer
D01_09,Organization Status,5890,Volunteer
D01_11,Other Agencies In Area,-25,Not Applicable
D01_11,Other Agencies In Area,-10,Not Known
D01_11,Other Agencies In Area,-5,Not Available
D01_19,EMS Agency Time Zone,5900,"GMT-11:00 Midway Island, Samoa"
D01_19,EMS Agency Time Zone,5910,GMT-10:00 Hawaii
D01_19,EMS Agency Time Zone,5920,GMT-09:00 Alaska
